method,ledger_hash,unit,sigma,delta,T,eps,regime,task_disjoint,violations
M5,a56a5889435003a8,U1,2.0,1e-05,50,2177.88524466053,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U1,2.0,1e-05,100,4165.568215091068,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U1,2.0,1e-05,500,19993.206406045843,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U1,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U1, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,1,79.0567184739702,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,5,280.53591202050796,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,10,506.88462719901037,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,50,2177.88524466053,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,100,4165.568215091068,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,500,19993.206406045843,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U2,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U2, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,1,79.0567184739702,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,5,280.53591202050796,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,10,506.88462719901037,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,50,2177.88524466053,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,100,4165.568215091068,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,500,19993.206406045843,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U3,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U3, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,5,5.989928952612497,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,10,8.837137179629,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,50,23.215647590214424,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,100,36.49264290680486,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,500,116.17300836742737,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U4,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U4, unbounded client-level)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,1,79.0567184739702,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,5,280.53591202050796,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,10,506.88462719901037,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,50,2177.88524466053,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,100,4165.568215091068,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
